Item,Price
Khumtia Pudina Kebab,450
Paneer Khurchan,420
Tandoori Chicken,520
Murgh Malai Kebab,540
Asian Summer Rolls,380
Caesar Veg Salad,350
French Onion Soup,300
Dal Bukhara,480
Butter Chicken,520
Lal Maas,620
Paneer Butter Masala,460
Aloo Pyaaz Sabzi,340
Rogan Josh,610
Vegetable Korma,420
Veg Biryani,420
Chicken Biryani,520
Jeera Rice,280
Butter Naan,90
Tandoori Roti,70
Missi Roti,80
Veggie Club Sandwich,320
Classic Club Sandwich,380
Fried Chicken Burger,360
Paneer Kathi Roll,300
Chicken Kathi Roll,340
Fish and Chips,420
Phirni,220
Gulab Jamun,180
Rasmalai,220
Cheesecake,260
Chocolate Brownie,240
Ice Cream Sundae,220
Masala Chai,120
Fresh Lime Soda,140
Cold Coffee,180
Mocktail,220
Fresh Juice,200
Soft Drink,120
Pepsi,110
